PS C:\Users\isikm> & C:/ProgramData/Anaconda3/python.exe "g:/Drive'ım/Okul/2024C-GÜZ/KON492 Bitirme Tasarım Projesi/pendulum_yeni.py"
2024-09-24 14:12:03.695201: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-24 14:12:05.510030: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-24 14:12:11.790020: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
episode: 139/1000, score: 10.935106274890162, epsilon: 0.44838464644316134, done: False
episode: 140/1000, score: -3.415795145814815, epsilon: 0.44614272321094556, done: False
episode: 141/1000, score: 9.105151336085832, epsilon: 0.44391200959489086, done: False
episode: 142/1000, score: 24.52942362499533, epsilon: 0.4416924495469164, done: False
episode: 143/1000, score: 3.449090944659309, epsilon: 0.4394839872991818, done: False
episode: 144/1000, score: 18.049305200998948, epsilon: 0.4372865673626859, done: False
episode: 145/1000, score: 2.9501529699212043, epsilon: 0.4351001345258725, done: False
episode: 146/1000, score: 6.295283665392803, epsilon: 0.43292463385324315, done: False
episode: 147/1000, score: -15.904936897926724, epsilon: 0.4307600106839769, done: False
episode: 148/1000, score: -0.9696188760070081, epsilon: 0.42860621063055704, done: False
episode: 149/1000, score: -14.682478701330913, epsilon: 0.42646317957740426, done: False
episode: 150/1000, score: -6.213317449620838, epsilon: 0.4243308636795172, done: False
episode: 151/1000, score: -0.36548753988838223, epsilon: 0.4222092093611196, done: False
episode: 152/1000, score: -1.6475306820232691, epsilon: 0.420098163314314, done: False
episode: 153/1000, score: 20.52047959413548, epsilon: 0.4179976724977424, done: False
episode: 154/1000, score: -7.1555194087343645, epsilon: 0.4159076841352537, done: False
episode: 155/1000, score: -8.418156355776269, epsilon: 0.41382814571457743, done: False
episode: 156/1000, score: 4.000439533120932, epsilon: 0.41175900498600454, done: False
episode: 157/1000, score: 3.9899021644378463, epsilon: 0.40970020996107454, done: False
episode: 158/1000, score: 4.1499171963947905, epsilon: 0.4076517089112692, done: False
episode: 159/1000, score: 7.929079817098604, epsilon: 0.4056134503667128, done: False
episode: 160/1000, score: 13.003875493342145, epsilon: 0.40358538311487924, done: False
episode: 161/1000, score: -13.546166541928978, epsilon: 0.40156745619930484, done: False
episode: 162/1000, score: 12.994353191709198, epsilon: 0.3995596189183083, done: False
episode: 163/1000, score: -11.446421471946694, epsilon: 0.39756182082371677, done: False
episode: 164/1000, score: -1.819813982628889, epsilon: 0.39557401171959816, done: False
episode: 165/1000, score: -3.148304473964424, epsilon: 0.39359614166100015, done: False
episode: 166/1000, score: 3.2488020329056777, epsilon: 0.39162816095269515, done: False
episode: 167/1000, score: -3.0300121997783522, epsilon: 0.3896700201479317, done: False
episode: 168/1000, score: -4.384487991434546, epsilon: 0.387721670047192, done: False
episode: 169/1000, score: 9.905155802523735, epsilon: 0.38578306169695603, done: False
episode: 170/1000, score: 6.007407293938982, epsilon: 0.38385414638847126, done: False
episode: 171/1000, score: -5.27321226091406, epsilon: 0.3819348756565289, done: False
episode: 172/1000, score: 8.065108564133475, epsilon: 0.38002520127824624, done: False
episode: 173/1000, score: 1.9331193546758427, epsilon: 0.378125075271855, done: False
episode: 174/1000, score: -0.18921162183138557, epsilon: 0.37623444989549576, done: False
episode: 175/1000, score: 31.169678576371425, epsilon: 0.3743532776460183, done: False
episode: 176/1000, score: 7.030056797394782, epsilon: 0.37248151125778817, done: False
episode: 177/1000, score: 2.198117964246659, epsilon: 0.3706191037014992, done: False
episode: 178/1000, score: -19.772938886719054, epsilon: 0.3687660081829917, done: False
episode: 179/1000, score: -10.488815509841372, epsilon: 0.3669221781420767, done: False
episode: 180/1000, score: -1.3609368426832167, epsilon: 0.3650875672513663, done: False
episode: 181/1000, score: -5.123755387860809, epsilon: 0.3632621294151095, done: False
episode: 182/1000, score: 7.787645315849329, epsilon: 0.36144581876803394, done: False
episode: 183/1000, score: -8.24382272702865, epsilon: 0.35963858967419376, done: False
episode: 184/1000, score: 9.743572150696142, epsilon: 0.3578403967258228, done: False
episode: 185/1000, score: 11.20785953250597, epsilon: 0.35605119474219366, done: False
episode: 186/1000, score: -0.5846667049259799, epsilon: 0.3542709387684827, done: False
episode: 187/1000, score: 1.9916905070802466, epsilon: 0.35249958407464027, done: False
episode: 188/1000, score: 12.8087187833411, epsilon: 0.3507370861542671, done: False
episode: 189/1000, score: 0.38392684807184463, epsilon: 0.34898340072349576, done: False
episode: 190/1000, score: -9.98971148492341, epsilon: 0.34723848371987825, done: False
episode: 191/1000, score: 0.9348512150239607, epsilon: 0.34550229130127885, done: False
episode: 192/1000, score: 12.830589564764129, epsilon: 0.34377477984477245, done: False
episode: 193/1000, score: 15.402759431486995, epsilon: 0.3420559059455486, done: False
episode: 194/1000, score: -11.995115854795218, epsilon: 0.34034562641582083, done: False
episode: 195/1000, score: 11.382175309477216, epsilon: 0.33864389828374175, done: False
episode: 196/1000, score: -25.541731335242712, epsilon: 0.33695067879232304, done: False
episode: 197/1000, score: 9.225147201668193, epsilon: 0.3352659253983614, done: False
episode: 198/1000, score: 5.4677750863265135, epsilon: 0.3335895957713696, done: False
