t,x,x_dot,theta,theta_dot,r,F
3.2,-2.703409360714414,-0.2825697133420857,-0.04945375491481304,0.04087784864951824,2.7,4.031350178217076
3.21,-2.706210886406873,-0.2777424896364649,-0.049044961754011254,0.040879814720567884,2.7,4.032133782416989
3.22,-2.708964351731828,-0.2729576331589953,-0.04863617783264464,0.0408760170905581,2.7,4.032923899707149
3.23,-2.7116701801522862,-0.2682151011776021,-0.04822746029929006,0.040866553305397374,2.7,4.033720309643922
3.24,-2.714328794677779,-0.2635148457452502,-0.04781886533128986,0.04085152006614376,2.7,4.034522794611911
3.25,-2.7169406178126883,-0.2588568137945197,-0.04741044814319813,0.04083101322948099,2.7,4.035331139806968
3.2600000000000002,-2.7195060715055095,-0.25424094723130763,-0.047002262995221575,0.0408051278083153,2.7,4.036145133219081
3.27,-2.7220255770990516,-0.24966718302765448,-0.04659436320165378,0.040773957972490005,2.7,4.036964565615176
3.2800000000000002,-2.7244995552815565,-0.24513545331369876,-0.0461868011393018,0.040737597049615326,2.7,4.037789230521784
3.29,-2.7269284260387403,-0.24064568546876122,-0.04577962825590388,0.04069613752601109,2.7,4.038618924207626
3.3000000000000003,-2.7293126086067327,-0.2361978022115602,-0.04537289507853717,0.0406496710477595,2.7,4.039453445666096
3.31,-2.7316525214259206,-0.23179172168956078,-0.04496665122201441,0.040598288421866,2.7,4.040292596597649
3.3200000000000003,-2.7339485820956786,-0.22742735756745916,-0.04456094539726841,0.040542079617525484,2.7,4.041136181392101
3.33,-2.73620120732998,-0.2231046191148047,-0.04415582541972343,0.04048113376749163,2.7,4.04198400711085
3.34,-2.7384108129138798,-0.2188234112927623,-0.04375133821765234,0.04041553916954711,2.7,4.042835883469011
3.35,-2.7405778136608596,-0.21458363484001672,-0.04334752984051851,0.040345383288072426,2.7,4.04369162281748
3.36,-2.742702623371032,-0.21038518635782164,-0.042944445467301626,0.04027075275571118,2.7,4.044551040124923
3.37,-2.744785654790186,-0.20622795839419608,-0.04254212941480634,0.040191733375129504,2.7,4.0454139529596995
3.38,-2.746827319569671,-0.2021118395272706,-0.04214062514595284,0.04010841012086755,2.7,4.0462801814717215
3.39,-2.7488280282271127,-0.1980367144477858,-0.0417399752780485,0.040020867141281224,2.7,4.04714954837425
3.4,-2.7507881901079485,-0.19400246404074603,-0.04134022159103962,0.03992918776057164,2.7,4.048021878925644
3.41,-2.7527082133477743,-0.19000896546623108,-0.04094140503574251,0.03983345448090066,2.7,4.0488970009110385
3.42,-2.754588504835495,-0.1860560922393688,-0.04054356574205291,0.03973374898459038,2.7,4.049774744624003
3.43,-2.756429470177273,-0.18214371430947118,-0.04014674302713305,0.039630152136404626,2.7,4.0506549428481184
3.44,-2.75823151366126,-0.17827169813833751,-0.03975097540357554,0.039522743985910644,2.7,4.051537430838546
3.45,-2.759995038223112,-0.1744399067777271,-0.03935630058754314,0.03941160376991887,2.7,4.0524220463035325
3.46,-2.7617204454122732,-0.17064819994600516,-0.03896275550688385,0.0392968099149992,2.7,4.053308629385897
3.47,-2.7634081353590187,-0.16689643410396468,-0.0385703763092204,0.039178440040071774,2.7,4.054197022644475
3.48,-2.765058506742258,-0.16318446252982777,-0.03817919837001352,0.03905657095907053,2.7,4.0550870710355404
3.49,-2.766671956758079,-0.15951213539342973,-0.03778925630059814,0.038931278683677725,2.7,4.055978621894201
3.5,-2.7682488810890313,-0.1558792998295893,-0.03740058395619198,0.038802638426127786,2.7,4.056871524915767
3.5100000000000002,-2.7697896738741417,-0.15228580001066813,-0.03701321444387573,0.038670724602078654,2.7,4.05776563213711
3.52,-2.7712947276796465,-0.1487314772183236,-0.03662718013054416,0.03853561083354903,2.7,4.058660797917995
3.5300000000000002,-2.7727644334704413,-0.14521616991445807,-0.03624251265082757,0.03839736995191992,2.7,4.05955687892241
3.54,-2.7741991805822357,-0.14173971381136816,-0.03585924291498291,0.03825607400099869,2.7,4.060453734099875
3.5500000000000003,-2.775599356694402,-0.13830194194109793,-0.035477401116753904,0.03811179424014405,2.7,4.061351224666752
3.56,-2.7769653478035177,-0.13490268472399966,-0.035097016741199714,0.03796460114745062,2.7,4.062249214087546
3.5700000000000003,-2.778297538197589,-0.13154177003650547,-0.03471811857249137,0.03781456442299133,2.7,4.063147568056211
3.58,-2.779596310430946,-0.12821902327811435,-0.034340734701675577,0.03766175299211598,2.7,4.064046154477439
3.59,-2.7808620452998047,-0.12493426743759789,-0.03396489253440518,0.037506235008804775,2.7,4.064944843447981
3.6,-2.782095121818489,-0.12168732315842859,-0.03359061879863594,0.03734807785907521,2.7,4.065843507237952
3.61,-2.7832959171963,-0.11847800880343512,-0.033217939552288814,0.03718734816444069,2.7,4.066742020272148
3.62,-2.7844648068150315,-0.1153061405186879,-0.03284688019087759,0.03702411178541978,2.7,4.0676402591113865
