x,x_dot,theta,theta_dot
1.669417875010640318e-01,-1.378624084381809001e-01,1.036022187053427857e+00,3.591026850802388370e+00
1.569984433221892073e-01,4.193921123526234140e-03,1.542036742654431247e+00,6.586643665790328228e+00
1.855607445929633448e-01,6.648458434555999386e-01,2.381846390943486380e+00,1.043544043426651413e+01
2.808156075414880992e-01,9.141158800196037548e-01,3.565169999050084915e+00,1.166348201492747094e+01
3.295455822299020454e-01,1.194187153101191334e-01,4.519960503982560773e+00,7.542571455526594804e+00
3.239808248575881122e-01,-1.493344307607110399e-01,5.111394272376930559e+00,4.381607292769390760e+00
3.107346098150305380e-01,-8.401907549532557085e-02,5.404805097625788868e+00,1.507408364910934884e+00
3.100054552093552407e-01,6.995046101225003976e-02,5.415691088541292331e+00,-1.287640365141554444e+00
3.222258251995805955e-01,1.457892889473025033e-01,5.145039661316202384e+00,-4.145027353880410104e+00
3.289694302669401993e-01,-8.689141325451230080e-02,4.578993717477454872e+00,-7.259006891050216126e+00
2.861556641634716014e-01,-8.411329753884635441e-01,3.658225017041403238e+00,-1.131274208692826910e+01
1.917882885150830052e-01,-7.047211581756082088e-01,2.476169805109220690e+00,-1.068077944175021265e+01
1.609324353125669849e-01,-6.374021547114430697e-03,1.616295074470276427e+00,-6.730870537885751403e+00
1.721047605375754241e-01,1.606510628000777929e-01,1.099752058476877403e+00,-3.660298735177855090e+00
1.842248483587747843e-01,5.908725835465789694e-02,8.786144394395498658e-01,-7.777827123111027419e-01
1.825021719454229252e-01,-8.723670877519734690e-02,9.427677470601267817e-01,2.065504789977091971e+00
1.711524990160752380e-01,-9.833859516772301690e-02,1.294634545942324966e+00,4.995240135880645305e+00
1.759824399487535662e-01,2.850677736014877728e-01,1.954297995883339523e+00,8.336045805637921191e+00
2.441799056522228339e-01,1.037896263630697868e+00,2.993217145534548429e+00,1.214924891023374620e+01
3.276352487221542154e-01,4.452403417070524005e-01,4.110718701982142953e+00,9.258561952592417654e+00
3.413489050893149246e-01,-7.150900639504821632e-02,4.847783924166991554e+00,5.670051510173809817e+00
3.289491454403581372e-01,-1.238583664001168122e-01,5.263183169020415164e+00,2.668813998665668485e+00
3.226087932905834510e-01,8.799518302863192087e-03,5.384920473694364773e+00,-2.252866190124786783e-01
3.301876472957808728e-01,1.253729190748931743e-01,5.217953648890148344e+00,-3.124088693552792506e+00
